station,valid,feel,relh,tmpf,vsby,sknt,mslp,p01i,alti,dwpf,drct
ROC,2026-01-20 00:00:00,-0.2942318472613763,0.9914304903354114,-0.02315591880493054,-1.0356049045799514,1.8838299287676976,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.2633445683948786
ROC,2026-01-20 00:05:00,-0.2942318472613763,0.9914304903354114,-0.02315591880493054,-0.7497654538562675,1.0550953405338852,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.2633445683948786
ROC,2026-01-20 00:10:00,-0.2942318472613763,0.9914304903354114,-0.02315591880493054,-0.1780865524088996,1.6766462817092445,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.2633445683948786
ROC,2026-01-20 00:15:00,-0.2942318472613763,0.9914304903354114,-0.02315591880493054,-0.1780865524088996,2.0910135758261506,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.15152302779070148
ROC,2026-01-20 00:20:00,-0.2942318472613763,0.9914304903354114,-0.02315591880493054,-1.0356049045799514,1.6766462817092445,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.15152302779070148
ROC,2026-01-20 00:25:00,-0.2942318472613763,0.9914304903354114,-0.02315591880493054,-1.6072838060273191,1.0550953405338852,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.03970148718652441
ROC,2026-01-20 00:25:00,-0.2761196231885623,0.9914304903354114,-0.02315591880493054,-1.3214443553036352,1.0550953405338852,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.03970148718652441
ROC,2026-01-20 00:27:00,-0.2580073991157483,0.9914304903354114,-0.02315591880493054,-1.6072838060273191,0.847911693475432,-0.6616623901825489,-0.5751597552389147,-0.7819816740526014,0.2740838684112967,0.03970148718652441
ROC,2026-01-20 00:30:00,-0.29562509526697733,0.9373173587638217,-0.038475379726117934,-1.3214443553036352,0.43354439935852584,-0.6616623901825489,-0.5751597552389147,-0.733684550477666,0.24592822617706708,-0.07212005341765268
ROC,2026-01-20 00:35:00,-0.33324279141820645,0.883204227192232,-0.053794840647305,-1.3214443553036352,1.1586871640631116,-0.6616623901825489,-0.5751597552389147,-0.733684550477666,0.21777258394283758,0.03970148718652441
ROC,2026-01-20 00:40:00,-0.3708604875694354,0.8290910956206424,-0.06911430156849238,-1.3214443553036352,1.8838299287676976,-0.6616623901825489,-0.5751597552389147,-0.733684550477666,0.18961694170860793,0.15152302779070148
ROC,2026-01-20 00:45:00,-0.40847818372066447,0.7749779640490527,-0.08443376248967978,-1.3214443553036352,2.505380869943057,-0.6616623901825489,-0.5751597552389147,-0.6853874269027477,0.1614612994743783,0.20743379809279003
ROC,2026-01-20 00:50:00,-0.4460958798718935,0.720864832477463,-0.09975322341086684,-1.4643640806654772,1.4694626346507913,-0.6616623901825489,-0.5751597552389147,-0.6853874269027477,0.13330565724014878,0.2633445683948786
ROC,2026-01-20 00:54:00,-0.4837135760231225,0.6667517009058733,-0.11507268433205424,-1.6072838060273191,1.6766462817092445,-0.6616623901825489,-0.5751597552389147,-0.6853874269027477,0.10515001500591911,0.2633445683948786
