station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,feel
JRB,2024-01-01 00:56:00,-1.1458977807732875,-1.2544302647145376,-0.580240404142783,1.1682845862430122,0.07323824425937316,0.0,0.08410914271768485,0.07026209295936806,0.40271173887786343,-1.184752909898001
JRB,2024-01-01 01:56:00,-1.1458977807732875,-1.1917839670820616,-0.4491896322658859,1.1682845862430122,-0.1980383381624945,0.0,0.08410914271768485,0.07026209295936806,0.40271173887786343,-1.145244919520468
JRB,2024-01-01 02:56:00,-1.1458977807732875,-1.1291376694495856,-0.31265556449455784,1.0708459115277864,-0.1980383381624945,0.0,0.08410914271768485,0.07026209295936806,0.40271173887786343,-1.145244919520468
JRB,2024-01-01 03:56:00,-1.1458977807732875,-1.0664913718171094,-0.17173486000768526,1.1682845862430122,-0.1980383381624945,0.0,0.08410914271768485,0.08301359297551679,0.40271173887786343,-1.145244919520468
JRB,2024-01-01 04:56:00,-1.1458977807732875,-1.0664913718171094,-0.17173486000768526,1.0708459115277864,0.6157914091031085,0.0,0.08410914271768485,0.10851659300781427,0.40271173887786343,-1.2490944942271263
JRB,2024-01-01 05:56:00,-1.1458977807732875,-1.0664913718171094,-0.17173486000768526,1.1682845862430122,0.6157914091031085,0.0,0.08410914271768485,0.07026209295936806,0.40271173887786343,-1.2490944942271263
JRB,2024-01-01 06:56:00,-1.1458977807732875,-1.0664913718171094,-0.17173486000768526,1.265723260958238,0.07323824425937316,0.0,0.04079521178327242,0.04475909292708507,0.40271173887786343,-1.184752909898001
JRB,2024-01-01 07:56:00,-1.210733886333621,-1.0664913718171094,-0.031910814699698996,1.1682845862430122,0.07323824425937316,0.0,0.04079521178327242,0.04475909292708507,0.40271173887786343,-1.2524808934023435
JRB,2024-01-01 08:56:00,-1.210733886333621,-1.1291376694495856,-0.1783148150810025,1.0708459115277864,-0.4693149205843622,0.0,-0.002518719151155403,-0.006246907137509887,0.40271173887786343,-1.1644345148466984
JRB,2024-01-01 09:56:00,-1.210733886333621,-1.0664913718171094,-0.031910814699698996,1.0708459115277864,-0.4693149205843622,0.0,-0.002518719151155403,-0.006246907137509887,0.40271173887786343,-1.1644345148466984
JRB,2024-01-01 10:56:00,-1.210733886333621,-1.0664913718171094,-0.031910814699698996,1.1682845862430122,-0.4693149205843622,0.0,0.04079521178327242,0.057510592943219314,0.40271173887786343,-1.1644345148466984
JRB,2024-01-01 11:56:00,-1.2755699918939543,-0.9411987765521574,0.43636265468469504,-0.09841818505492418,-0.7405915030062299,0.0,0.12742307365211267,0.10851659300781427,0.40271173887786343,-1.1700785134720604
JRB,2024-01-01 12:56:00,-1.210733886333621,-0.8159061812872055,0.6107314641275954,-1.3651209563528606,-1.5544212502718329,0.0,0.1707370045865251,0.15952259307239472,0.40271173887786343,-0.9911637570480896
JRB,2024-01-01 13:16:00,-1.327438876342221,-0.8910817384461769,0.7077858014590218,1.1682845862430122,-0.7405915030062299,0.0,0.1707370045865251,0.17864984309661058,0.40271173887786343,-1.221438900962853
JRB,2024-01-01 13:56:00,-1.210733886333621,-0.8785524789196815,0.44184595057912557,1.265723260958238,-0.1980383381624945,0.0,0.21405093552095292,0.19777709312082645,0.40271173887786343,-1.2124085031622742
JRB,2024-01-01 14:56:00,-1.1458977807732875,-0.8159061812872055,0.44678091688411353,1.363161935673464,-0.4693149205843622,0.0,0.21405093552095292,0.22328009315312392,0.40271173887786343,-1.0983997309299647
JRB,2024-01-01 15:56:00,-1.0162255696526208,-0.8159061812872055,0.13916801720654345,1.46060061038869,1.1583445739468439,0.0,0.1707370045865251,0.1850255931046777,0.40271173887786343,-1.1593549160838725
JRB,2024-01-01 16:11:00,-0.9773239063164207,-0.8910817384461769,-0.12457851531558006,0.047739827017914634,-0.1980383381624945,0.0,0.1707370045865251,0.15527209306700215,0.40271173887786343,-0.970845361996787
JRB,2024-01-01 16:40:00,-0.9773239063164207,-0.8910817384461769,-0.12457851531558006,-1.3651209563528606,-1.5544212502718329,0.0,0.12742307365211267,0.1255185930293411,0.40271173887786343,-0.7879798065350628
JRB,2024-01-01 16:56:00,-0.886553358531954,-0.9411987765521574,-0.418483175257073,-1.3651209563528606,-0.4693149205843622,0.0,0.08410914271768485,0.09576509299166552,0.40271173887786343,-0.8348249951255662
JRB,2024-01-01 17:56:00,-0.692045041850954,-0.8785524789196815,-0.6504265915914974,-1.3651209563528606,-0.7405915030062299,0.0,0.04079521178327242,0.057510592943219314,0.40271173887786343,-0.5893110549223259
JRB,2024-01-01 18:56:00,-0.886553358531954,-0.9411987765521574,-0.418483175257073,-1.3651209563528606,-0.4693149205843622,0.0,0.08410914271768485,0.07026209295936806,0.40271173887786343,-0.8348249951255662
JRB,2024-01-01 19:56:00,-0.8217172529716207,-1.0664913718171094,-0.7875089889522684,-1.3651209563528606,-0.1980383381624945,0.0,0.08410914271768485,0.09576509299166552,0.40271173887786343,-0.8099914011739741
JRB,2024-01-01 20:56:00,-0.886553358531954,-1.1291376694495856,-0.7957339327939149,-1.3651209563528606,-1.5544212502718329,0.0,0.12742307365211267,0.13401959304009725,0.40271173887786343,-0.7089638257799971
JRB,2024-01-01 21:56:00,-0.9513894640922874,-1.1291376694495856,-0.6827780373686395,-1.3651209563528606,-0.7405915030062299,0.0,0.1707370045865251,0.17227409308854347,0.40271173887786343,-0.8472417921013625
