station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,feel
PEO,2024-01-01 00:02:00,-1.0885257696000572,-0.745150046821203,1.0183446904677251,-1.6760780394283832,-0.6771906566279993,-0.22631784352965922,-0.056462293159349086,0.06913759447691302,-1.9860238318178889,-0.9684692153057869
PEO,2024-01-01 00:15:00,-1.0885257696000572,-0.6853216492291627,1.2464188548480246,-1.6760780394283832,-1.377582774666413,-0.22631784352965922,-0.056462293159349086,0.06913759447691302,-1.9860238318178889,-0.8054571527738763
PEO,2024-01-01 00:53:00,-1.0885257696000572,-0.745150046821203,1.0183446904677251,-1.3120217839702593,-0.6771906566279993,-0.22631784352965922,-0.056462293159349086,0.06913759447691302,-1.9860238318178889,-0.9684692153057869
PEO,2024-01-01 01:19:00,-1.0885257696000572,-0.745150046821203,1.0183446904677251,-1.6760780394283832,-1.377582774666413,-0.13225597925431218,-0.056462293159349086,0.06257773106589166,-2.065396087110127,-0.8054571527738763
PEO,2024-01-01 01:53:00,-1.1463923822039015,-0.745150046821203,1.2452247492753523,-1.4030358478347902,-0.4437266172818613,-0.038194114978965174,-0.056462293159349086,0.056017867654855405,-2.144768342402365,-1.0886352070211531
PEO,2024-01-01 02:53:00,-1.1463923822039015,-0.745150046821203,1.2452247492753523,-1.6760780394283832,-1.377582774666413,0.055867749296381844,-0.056462293159349086,0.06913759447691302,-1.9860238318178889,-0.8547055100342722
PEO,2024-01-01 03:10:00,-1.1463923822039015,-0.8049784444132433,1.0165535321087174,-1.6760780394283832,-1.377582774666413,0.008836817158708323,-0.056462293159349086,0.06913759447691302,-2.224140597694603,-0.8547055100342722
PEO,2024-01-01 03:28:00,-1.1463923822039015,-0.8049784444132433,1.0165535321087174,-1.6760780394283832,-1.377582774666413,-0.038194114978965195,-0.011625673354090498,0.06913759447691302,-1.8272793212334129,-0.8547055100342722
PEO,2024-01-01 03:39:00,-1.1463923822039015,-0.8049784444132433,1.0165535321087174,-1.3120217839702593,-0.4437266172818613,-0.0852250471166387,-0.056462293159349086,0.06913759447691302,-1.3510457894799848,-1.0886352070211531
PEO,2024-01-01 03:53:00,-1.1463923822039015,-0.8049784444132433,1.0165535321087174,-1.6760780394283832,-1.377582774666413,-0.1322559792543122,-0.056462293159349086,0.06913759447691302,-1.3510457894799848,-0.8547055100342722
PEO,2024-01-01 04:53:00,-1.2042589948077458,-0.8648068420052836,1.0141653209633743,-1.4030358478347902,-0.2102625779357233,-0.17928691139198571,-0.011625673354090498,0.10849677494307092,-1.0335567683110325,-1.1984590437118363
PEO,2024-01-01 05:15:00,-1.2042589948077458,-0.9246352395973239,0.7926587372327693,-1.6760780394283832,-1.377582774666413,-0.22631784352965922,-0.011625673354090498,0.10849677494307092,-0.08108970480417624,-0.9039538672946682
PEO,2024-01-01 05:35:00,-1.2042589948077458,-0.9246352395973239,0.7926587372327693,-1.3120217839702593,-0.6771906566279993,-0.22631784352965922,-0.011625673354090498,0.10849677494307092,0.553888337533728,-1.0812479534320938
PEO,2024-01-01 05:53:00,-1.2042589948077458,-0.9246352395973239,0.7926587372327693,-1.5850639755638523,-0.4437266172818613,-0.22631784352965922,-0.011625673354090498,0.10849677494307092,0.23639931636477587,-1.1462557850158166
PEO,2024-01-01 06:33:00,-1.2042589948077458,-0.9246352395973239,0.7926587372327693,-1.6760780394283832,-1.377582774666413,-0.22631784352965922,-0.011625673354090498,0.11287001721708516,0.23639931636477587,-0.9039538672946682
PEO,2024-01-01 06:43:00,-1.26212560741159,-0.9246352395973239,1.0123741626043667,-1.3120217839702593,-0.2102625779357233,-0.22631784352965922,-0.011625673354090498,0.1172432594911143,0.23639931636477587,-1.2570645888517076
PEO,2024-01-01 06:53:00,-1.26212560741159,-0.9246352395973239,1.0123741626043667,-1.3120217839702593,-0.4437266172818613,-0.22631784352965922,-0.011625673354090498,0.12161650176512853,0.553888337533728,-1.2033838794378757
PEO,2024-01-01 07:18:00,-1.26212560741159,-0.9844636371893641,0.789076420514754,-1.3510278113407725,-0.4437266172818613,-0.22631784352965922,0.03321094645118402,0.14129609199820747,0.553888337533728,-1.2033838794378757
PEO,2024-01-01 07:53:00,-1.26212560741159,-0.9844636371893641,0.789076420514754,-1.390033838711286,-0.6771906566279993,-0.22631784352965922,0.03321094645118402,0.16097568223128644,0.553888337533728,-1.1373910807089451
PEO,2024-01-01 08:53:00,-1.26212560741159,-0.9844636371893641,0.789076420514754,-1.4290398660817991,-0.6771906566279993,-0.22631784352965922,0.0780475662564426,0.17409540905334406,0.553888337533728,-1.1373910807089451
PEO,2024-01-01 09:16:00,-1.3199922200154344,-0.9844636371893641,1.009985951459023,-1.4680458934523124,-0.6771906566279993,-0.22631784352965922,0.0780475662564426,0.17846865132735829,0.23639931636477587,-1.1935342079857965
PEO,2024-01-01 09:49:00,-1.2968455749738967,-1.0562577142998124,0.657724807520865,-1.5070519208228255,-0.4437266172818613,-0.22631784352965922,0.0780475662564426,0.18284189360138742,0.553888337533728,-1.237857729520153
PEO,2024-01-01 09:53:00,-1.3199922200154344,-1.1041204323734448,0.5705551007158288,-1.546057948193339,0.023201461410414653,-0.22631784352965922,0.0780475662564426,0.18721513587540164,0.553888337533728,-1.3614711062437468
PEO,2024-01-01 10:05:00,-1.3199922200154344,-1.0442920347814044,0.7860911565830748,-1.5850639755638523,-0.2102625779357233,-0.22631784352965922,0.0780475662564426,0.21345458951951687,0.553888337533728,-1.3156701339915786
