feel,relh,tmpf,vsby,sknt,mslp,p01i,alti,dwpf,drct,station
-2.319478863703722,-0.528051819453395,-2.2454383927139157,0.5616617465394743,-0.7681823937713842,,-0.267852397781582,2.2743938788643177,-1.7023371064987598,-0.09291687911272116,HTO
-2.195761222208351,-0.5047762109999968,-2.127864981061911,0.5616617465394743,-0.7681823937713842,,-0.267852397781582,2.3424339459502646,-1.613436463474871,-0.19938413642938077,HTO
-2.247852860732717,-0.4627665762304487,-1.9867768870795055,0.5616617465394743,-0.21042620027400957,,-0.267852397781582,2.3424339459502646,-1.4922083138968414,0.013550378203938425,HTO
-1.3243115193944666,-1.0208134813448546,-0.7992854293942622,0.5616617465394743,2.299476670464176,,-0.267852397781582,-0.9915293412617785,-0.97496820903058,1.397624723320513,HTO
-0.5928580951148175,-1.1207282883643213,-0.6934693589074576,0.5616617465394743,2.299476670464176,,-0.267852397781582,-1.0595694083477494,-0.9507225791149743,1.397624723320513,HTO
-0.5603008210370886,-3.0423852301875804,-0.6581973354118567,0.5616617465394743,2.0205985737154886,,-0.267852397781582,-2.692531018410785,-2.32464160766598,2.14289552453713,HTO
-0.4734814234964777,-3.136623059535486,-0.5641386060902535,0.5616617465394743,2.0205985737154886,,-0.267852397781582,-2.692531018410785,-2.3650509908586566,2.0364282672204705,HTO
-0.49518627288163003,-3.168981832263382,-0.5994106295858544,0.5616617465394743,2.299476670464176,,-0.267852397781582,-2.7605710854967564,-2.413542250689869,2.0364282672204705,HTO
-1.362295005818484,-2.8414202206143355,-1.1167336408546735,0.5616617465394743,0.0684518964746777,,-0.267852397781582,-0.10700846914430168,-2.413542250689869,1.7170264952704917,HTO
-1.3785736428573485,-2.834607847408463,-1.034432252698271,0.5616617465394743,0.6262080899720522,,-0.267852397781582,-0.10700846914430168,-2.3569691142201212,1.7170264952704917,HTO
1.653593816248496,0.21790304658966644,1.7520576034542326,0.5616617465394743,-1.604816684017446,,-0.267852397781582,-2.488410817152921,1.3283666329519885,-0.8381876803293383,HTO
1.577626843400461,0.3427965553639988,1.6579988741326295,0.5616617465394743,-1.604816684017446,,-0.267852397781582,-2.556450884238868,1.3283666329519885,-0.8381876803293383,HTO
1.534217144630155,0.378561514694831,1.610969509471827,0.5616617465394743,-0.7681823937713842,,-0.267852397781582,-2.488410817152921,1.3122028796749177,0.013550378203938425,HTO
