station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,feel
MSS,2024-01-01 00:53:00,-1.4033741872415002,-1.3691166845853777,-0.03960137191111039,1.7419910156337812,-0.42119047113302854,-0.17473105069445663,0.38902776411734996,0.4390259595153526,0.6427204335956911,-1.3263573516424956
MSS,2024-01-01 01:53:00,-1.4033741872415002,-1.4250611332669325,-0.2411239273047215,1.8271991436889619,-0.42119047113302854,-0.17473105069445663,0.38902776411734996,0.4390259595153526,0.6427204335956911,-1.3263573516424956
MSS,2024-01-01 02:48:00,-1.5017653015947992,-1.4362500230032436,0.0749418434645901,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.38902776411734996,0.4509561574262239,0.6427204335956911,-1.1293887942595335
MSS,2024-01-01 02:53:00,-1.4580359174377775,-1.4810055819484875,-0.2472492329397862,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.38902776411734996,0.46288635533708167,0.6427204335956911,-1.0926580609480254
MSS,2024-01-01 03:53:00,-1.4033741872415002,-1.4250611332669325,-0.2411239273047215,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.38902776411734996,0.46288635533708167,0.6427204335956911,-1.0467446443086403
MSS,2024-01-01 04:53:00,-1.4580359174377775,-1.3131722359038227,0.3824321863448118,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.38902776411734996,0.4509561574262239,0.6427204335956911,-1.0926580609480254
MSS,2024-01-01 05:53:00,-1.4033741872415002,-1.4810055819484875,-0.4346835853727503,1.4011585034130578,-0.42119047113302854,-0.17473105069445663,0.38902776411734996,0.4390259595153526,0.6427204335956911,-1.3263573516424956
MSS,2024-01-01 06:50:00,-1.5017653015947992,-1.4362500230032436,0.0749418434645901,1.2307422473026963,-0.42119047113302854,-0.17473105069445663,0.4296716438090577,0.46288635533708167,0.6427204335956911,-1.4227755265852042
MSS,2024-01-01 06:53:00,-1.4580359174377775,-1.4250611332669325,-0.045726677546174224,1.1455341192475155,-0.42119047113302854,-0.17473105069445663,0.4296716438090577,0.4867467511588243,0.6427204335956911,-1.3800760491105761
MSS,2024-01-01 07:32:00,-1.4580359174377775,-1.4250611332669325,-0.045726677546174224,1.5715747595234195,-0.6266783114711478,-0.17473105069445663,0.470315523500751,0.49271185011425317,0.6427204335956911,-1.3102876558187107
MSS,2024-01-01 07:53:00,-1.5126976476340546,-1.4250611332669325,0.15947106122847554,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.4296716438090577,0.4986769490696956,0.6427204335956911,-1.1385714775874105
MSS,2024-01-01 08:53:00,-1.622021108026609,-1.4250611332669325,0.5992680058260843,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.470315523500751,0.534467542802296,0.6427204335956911,-1.2303983108661807
MSS,2024-01-01 09:53:00,-1.7860062986154404,-1.5369500306300425,0.8301920282680036,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.5109594031924588,0.5583279386240386,0.6427204335956911,-1.368138560784336
MSS,2024-01-01 10:53:00,-1.7860062986154404,-1.5369500306300425,0.8301920282680036,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.5516032828841665,0.6060487302675103,0.6427204335956911,-1.368138560784336
MSS,2024-01-01 11:06:00,-1.7860062986154404,-1.5369500306300425,0.8301920282680036,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.5516032828841665,0.6299091260892529,0.6427204335956911,-1.368138560784336
MSS,2024-01-01 11:53:00,-1.622021108026609,-1.3131722359038227,1.0850047426866736,-1.2402934662975473,-1.2431418324855055,-0.17473105069445663,0.5922471625758599,0.6537695219109819,0.6427204335956911,-1.2303983108661807
MSS,2024-01-01 12:53:00,-1.5126976476340546,-1.3131722359038227,0.605393311461148,-0.984669082132005,-0.6266783114711478,-0.17473105069445663,0.6328910422675675,0.6776299177327246,0.6427204335956911,-1.3630880849540037
MSS,2024-01-01 13:53:00,-1.4580359174377775,-1.4250611332669325,-0.045726677546174224,1.8271991436889619,-0.42119047113302854,-0.17473105069445663,0.7141788016509686,0.7492111051979389,0.6427204335956911,-1.3800760491105761
MSS,2024-01-01 14:53:00,-1.4033741872415002,-1.4250611332669325,-0.2411239273047215,-1.1550853382423667,-0.21570263079490926,-0.17473105069445663,0.7548226813426618,0.7969318968414105,0.6427204335956911,-1.3814534516097576
MSS,2024-01-01 15:53:00,-1.4033741872415002,-1.5369500306300425,-0.6202803461151951,1.8271991436889619,-0.21570263079490926,-0.17473105069445663,0.7548226813426618,0.7969318968414105,0.6427204335956911,-1.3814534516097576
MSS,2024-01-01 16:53:00,-1.4033741872415002,-1.5369500306300425,-0.6202803461151951,1.315950375357877,-0.21570263079490926,-0.17473105069445663,0.7141788016509686,0.7611413031087967,0.6427204335956911,-1.3814534516097576
MSS,2024-01-01 17:53:00,-1.4033741872415002,-1.4810055819484875,-0.4346835853727503,1.2307422473026963,-0.010214790456790012,-0.17473105069445663,0.6328910422675675,0.7014903135544537,0.6427204335956911,-1.4282851365819307
MSS,2024-01-01 18:53:00,-1.4033741872415002,-1.5369500306300425,-0.6202803461151951,1.315950375357877,-0.21570263079490926,-0.17473105069445663,0.6735349219592608,0.7253507093761963,0.6427204335956911,-1.3814534516097576
MSS,2024-01-01 19:53:00,-1.4033741872415002,-1.5369500306300425,-0.6202803461151951,0.8047016070267922,-0.42119047113302854,-0.17473105069445663,0.6735349219592608,0.7372809072870675,0.6427204335956911,-1.3263573516424956
